pokedex_number,name,generation,genus,type1,type2,height_m,weight_kg,hp,attack,defense,special-attack,special-defense,speed,abilities,evolves_from,entry_red,entry_blue,entry_gold,entry_ruby,entry_diamond,entry_black,entry_x,entry_sun,entry_sword,entry_scarlet
142,Aerodactyl,I,Fossil Pokémon,Rock,Flying,1.8,59.0,80,105,65,60,75,130,"Rock Head, Pressure, Unnerve",,"A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs.","A ferocious, pre­ historic POKéMON that goes for the enemy's throat with its serrated saw-like fangs.","A vicious POKéMON from the distant past, it appears to have flown by spreading its wings and gliding.",AERODACTYL is a POKéMON from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times.,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.,A Pokémon that roamed the skies in the dinosaur era. Its teeth are like saw blades.,It was regenerated from a dinosaur’s genetic matter that was found in amber. It flies with high-pitched cries.,A Pokémon from the age of the dinosaurs. It used its sawlike fangs to shred its prey before eating them.,This is a ferocious Pokémon from ancient times. Apparently even modern technology is incapable of producing a perfectly restored specimen.,
143,Snorlax,I,Sleeping Pokémon,Normal,,2.1,460.0,160,110,65,65,110,30,"Immunity, Thick Fat, Gluttony",Munchlax,"Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.","Very lazy. Just eats and sleeps. As its rotund bulk builds, it becomes steadily more slothful.",What sounds like its cry may ac­ tually be its snores or the rumblings of its hungry belly.,SNORLAX’s typical day consists of nothing more than eating and sleeping. It is such a docile POKéMON that there are children who use its expansive belly as a place to play.,"Its stomach can digest any kind of food, even if it happens to be moldy or rotten.","When its belly is full, it becomes too lethargic to even lift a finger, so it is safe to bounce on its belly.","It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",Its stomach is said to be incomparably strong. Even Muk’s poison is nothing more than a hint of spice on Snorlax’s tongue.,"It is not satisfied unless it eats over 880 pounds of food every day. When it is done eating, it goes promptly to sleep.",
144,Articuno,I,Freeze Pokémon,Ice,Flying,1.7,55.4,90,85,100,95,125,85,"Pressure, Snow Cloak",,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,A legendary bird POKéMON that is said to appear to doomed people who are lost in icy mountains.,"The magnificent, seemingly translu­ cent wings of this legendary bird POKéMON are said to be made of ice.","ARTICUNO is a legendary bird POKéMON that can control ice. The flapping of its wings chills the air. As a result, it is said that when this POKéMON flies, snow will fall.",A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.,A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.,A legendary bird Pokémon. It can create blizzards by freezing moisture in the air.,,"It’s said that this Pokémon’s beautiful blue wings are made of ice. Articuno flies over snowy mountains, its long tail fluttering along behind it.",
145,Zapdos,I,Electric Pokémon,Electric,Flying,1.6,52.6,90,90,85,125,90,100,"Pressure, Static",,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,A legendary bird POKéMON that is said to appear from clouds while dropping enormous lightning bolts.,This legendary bird POKéMON causes savage thunderstorms by flapping its glit­ tering wings.,ZAPDOS is a legendary bird POKéMON that has the ability to control electricity. It usually lives in thunderclouds. The POKéMON gains power if it is stricken by lightning bolts.,A legendary Pokémon that is said to live in thunderclouds. It freely controls lightning bolts.,A legendary Pokémon that is said to live in thunderclouds. It freely controls lightning bolts.,A legendary bird Pokémon that is said to appear from clouds while dropping enormous lightning bolts.,,This Pokémon has complete control over electricity. There are tales of Zapdos nesting in the dark depths of pitch-black thunderclouds.,
146,Moltres,I,Flame Pokémon,Fire,Flying,2.0,60.0,90,100,90,125,85,90,"Pressure, Flame Body",,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,Known as the legendary bird of fire. Every flap of its wings creates a dazzling flash of flames.,This legendary POKéMON scatters embers with every flap of its wings. It is a thrilling sight to behold.,"MOLTRES is a legendary bird POKéMON that has the ability to control fire. If this POKéMON is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself.",One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.,One of the legendary bird Pokémon. It is said that its appearance indicates the coming of spring.,It is said to be the legendary bird Pokémon of fire. Every flap of its wings creates a dazzling flare of flames.,,"It’s one of the legendary bird Pokémon. When Moltres flaps its flaming wings, they glimmer with a dazzling red glow.",
147,Dratini,I,Dragon Pokémon,Dragon,,1.8,3.3,41,64,45,50,50,50,"Shed Skin, Marvel Scale",,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,Long considered a mythical POKéMON until recently when a small colony was found living underwater.,It is born large to start with. It repeatedly sheds its skin as it steadily grows longer.,DRATINI continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels.,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.,It is called the “Mirage Pokémon” because so few have seen it. Its shed skin has been found.,It grows by molting repeatedly. Boots made from the tanned cast-off skin are a super luxury item.,"Dratini dwells near bodies of rapidly flowing water, such as the plunge pools of waterfalls. As it grows, Dratini will shed its skin many times.",
148,Dragonair,I,Dragon Pokémon,Dragon,,4.0,16.5,61,84,65,70,70,70,"Shed Skin, Marvel Scale",Dratini,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,A mystical POKéMON that exudes a gentle aura. Has the ability to change climate conditions.,"They say that if it emits an aura from its whole body, the weather will begin to change instantly.",DRAGONAIR stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail.,"If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes.","If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes.",Its crystalline orbs appear to give this Pokémon the power to freely control the weather.,It has long been thought that its crystalline orbs are imbued with the power to control the weather.,"This Pokémon lives in pristine oceans and lakes. It can control the weather, and it uses this power to fly into the sky, riding on the wind.",
149,Dragonite,I,Dragon Pokémon,Dragon,Flying,2.2,210.0,91,134,95,100,100,80,"Inner Focus, Multiscale",Dragonair,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.,An extremely rarely seen marine POKéMON. Its intelligence is said to match that of humans.,It is said that this POKéMON con­ stantly flies over the immense seas and rescues drown­ ing people.,DRAGONITE is capable of circling the globe in just sixteen hours. It is a kindhearted POKéMON that leads lost and foundering ships in a storm to the safety of land.,It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.,It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.,It can fly in spite of its big and bulky physique. It circles the globe in just 16 hours.,"This Pokémon saved a shipwrecked man, taking him to a remote island—a paradise occupied solely by Dragonite.","It’s a kindhearted Pokémon. If it spots a drowning person or Pokémon, Dragonite simply must help them.",
150,Mewtwo,I,Genetic Pokémon,Psychic,,2.0,122.0,106,110,90,154,90,130,"Pressure, Unnerve",,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.,It was created by a scientist after years of horrific gene splicing and DNA engineering experiments.,"Because its battle abilities were raised to the ultimate level, it thinks only of de­ feating its foes.","MEWTWO is a POKéMON that was created by genetic manipulation. However, even though the scientific power of humans created this POKéMON’s body, they failed to endow MEWTWO with a compassionate heart.",A Pokémon created by recombining MEW’s genes. It’s said to have the most savage heart among Pokémon.,A Pokémon created by recombining Mew’s genes. It’s said to have the most savage heart among Pokémon.,It was created by a scientist after years of horrific gene-splicing and DNA-engineering experiments.,,,
151,Mew,I,New Species Pokémon,Psychic,,0.4,4.0,100,100,100,100,100,100,Synchronize,,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,So rare that it is still said to be a mirage by many experts. Only a few people have seen it worldwide.,"Apparently, it appears only to those people who are pure of heart and have a strong desire to see it.","MEW is said to possess the genetic composition of all POKéMON. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people.","Because it can use all kinds of moves, many scientists believe MEW to be the ancestor of Pokémon.","Because it can use all kinds of moves, many scientists believe Mew to be the ancestor of Pokémon.","Because it can use all kinds of moves, many scientists believe Mew to be the ancestor of Pokémon.",,,
152,Chikorita,II,Leaf Pokémon,Grass,,0.9,6.4,45,49,65,49,65,45,"Overgrow, Leaf Guard",,,,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up the sun's rays.,"In battle, CHIKORITA waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling POKéMON and creating a cozy, friendly atmosphere all around.",It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.,It uses the leaf on its head to determine the temperature and humidity. It loves to sunbathe.,A sweet aroma gently wafts from the leaf on its head. It is docile and loves to soak up sun rays.,,,
153,Bayleef,II,Leaf Pokémon,Grass,,1.2,15.8,60,62,80,63,80,60,"Overgrow, Leaf Guard",Chikorita,,,"The scent of spices comes from around its neck. Somehow, sniffing it makes you want to fight.",BAYLEEF’s neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy.,The buds that ring its neck give off a spicy aroma that perks people up.,The buds that ring its neck give off a spicy aroma that perks people up.,A spicy aroma emanates from around its neck. The aroma acts as a stimulant to restore health.,,,
154,Meganium,II,Herb Pokémon,Grass,,1.8,100.5,80,82,100,83,100,80,"Overgrow, Leaf Guard",Bayleef,,,The aroma that rises from its petals contains a substance that calms aggressive feelings.,"The fragrance of MEGANIUM’s flower soothes and calms emotions. In battle, this POKéMON gives off more of its becalming scent to blunt the foe’s fighting spirit.",Its breath has the fantastic ability to revive dead plants and flowers.,Its breath has the fantastic ability to revive dead plants and flowers.,The aroma that rises from its petals contains a substance that calms aggressive feelings.,,,
155,Cyndaquil,II,Fire Mouse Pokémon,Fire,,0.5,7.9,39,52,43,60,50,65,"Blaze, Flash Fire",,,,"It is timid, and always curls it­ self up in a ball. If attacked, it flares up its back for protection.","CYNDAQUIL protects itself by flaring up the flames on its back. The flames are vigorous if the POKéMON is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion.","It has a timid nature. If it is startled, the flames on its back burn more vigorously.","It has a timid nature. If it is startled, the flames on its back burn more vigorously.","It is timid and always curls itself up in a ball. If attacked, it flares up its back for protection.",,,
156,Quilava,II,Volcano Pokémon,Fire,,0.9,19.0,58,64,58,80,65,80,"Blaze, Flash Fire",Cyndaquil,,,Be careful if it turns its back during battle. It means that it will attack with the fire on its back.,QUILAVA keeps its foes at bay with the intensity of its flames and gusts of superheated air. This POKéMON applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames.,It intimidates foes with the heat of its flames. The fire burns more strongly when it readies to fight.,It intimidates foes with the heat of its flames. The fire burns more strongly when it readies to fight.,"Before battle, it turns its back on its opponent to demonstrate how ferociously its fire blazes.",,,
157,Typhlosion,II,Volcano Pokémon,Fire,,1.7,79.5,78,84,78,109,85,100,"Blaze, Flash Fire",Quilava,,,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.",TYPHLOSION obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This POKéMON creates blazing explosive blasts that burn everything to cinders.,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.,It attacks using blasts of fire. It creates heat shimmers with intense fire to hide itself.,"If its rage peaks, it becomes so hot that anything that touches it will instantly go up in flames.",,,
158,Totodile,II,Big Jaw Pokémon,Water,,0.6,9.5,50,65,64,44,48,43,"Torrent, Sheer Force",,,,Its well-developed jaws are powerful and capable of crushing anything. Even its trainer must be careful.,"Despite the smallness of its body, TOTODILE’s jaws are very powerful. While the POKéMON may think it is just playfully nipping, its bite has enough power to cause serious injury.",It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful.,It has the habit of biting anything with its developed jaws. Even its Trainer needs to be careful.,It is small but rough and tough. It won’t hesitate to take a bite out of anything that moves.,,,
159,Croconaw,II,Big Jaw Pokémon,Water,,1.1,25.0,65,80,80,59,63,58,"Torrent, Sheer Force",Totodile,,,"If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth.","Once CROCONAW has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when  they have sunk in.","Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place.","Once it bites down, it won’t let go until it loses its fangs. New fangs quickly grow into place.","If it loses a fang, a new one grows back in its place. There are always 48 fangs lining its mouth.",,,
160,Feraligatr,II,Big Jaw Pokémon,Water,,2.3,88.8,85,105,100,79,83,78,"Torrent, Sheer Force",Croconaw,,,"When it bites with its massive and powerful jaws, it shakes its head and savagely tears its victim up.","FERALIGATR intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed.","It usually moves slowly, but it goes at blinding speed when it attacks and bites prey.","It usually moves slowly, but it goes at blinding speed when it attacks and bites prey.","It usually moves slowly, but it goes at blinding speed when it attacks and bites prey.",,,
161,Sentret,II,Scout Pokémon,Normal,,0.8,6.0,35,46,34,35,45,20,"Run Away, Keen Eye, Frisk",,,,"A very cautious POKéMON, it raises itself up using its tail to get a better view of its surroundings.","When SENTRET sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this POKéMON becomes separated from its pack, it becomes incapable of sleep due to fear.",It has a very nervous nature. It stands up high on its tail so it can scan wide areas.,It has a very nervous nature. It stands up high on its tail so it can scan wide areas.,"When acting as a lookout, it warns others of danger by screeching and hitting the ground with its tail.",,,
162,Furret,II,Long Body Pokémon,Normal,,1.8,32.5,85,76,64,45,55,90,"Run Away, Keen Eye, Frisk",Sentret,,,It makes a nest to suit its long and skinny body. The nest is impossible for other POKéMON to enter.,"FURRET has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this POKéMON is very nimble and fleet.",The mother puts its offspring to sleep by curling up around them. It corners foes with speed.,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.,The mother puts its offspring to sleep by curling up around them. It corners foes with speed.,,,
163,Hoothoot,II,Owl Pokémon,Normal,Flying,0.7,21.2,60,30,30,36,56,50,"Insomnia, Keen Eye, Tinted Lens",,,,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.","HOOTHOOT has an internal organ that senses and tracks the earth’s rotation. Using this special organ, this POKéMON begins hooting at precisely the same time every day.","It always stands on one foot. Even when attacked, it does not brace itself using both feet.","It marks time precisely. Some countries consider it to be a wise friend, versed in the world’s ways.","It has a perfect sense of time. Whatever happens, it keeps rhythm by precisely tilting its head in time.",,"It always stands on one foot. It changes feet so fast, the movement can rarely be seen.",
164,Noctowl,II,Owl Pokémon,Normal,Flying,1.6,40.8,100,50,50,86,96,70,"Insomnia, Keen Eye, Tinted Lens",Hoothoot,,,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.,"NOCTOWL never fails at catching prey in darkness. This POKéMON owes its success to its superior vision that allows it to see in minimal light, and to its soft,  supple wings that make no sound in flight.",Its eyes are special. They can pick out objects as long as there is the tiniest amount of light.,Its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light.,Its eyes are specially adapted. They concentrate even faint light and enable it to see in the dark.,,Its eyes are specially developed to enable it to see clearly even in murky darkness and minimal light.,
165,Ledyba,II,Five Star Pokémon,Bug,Flying,1.0,10.8,40,20,30,40,80,55,"Swarm, Early Bird, Rattled",,,,It is very timid. It will be afraid to move if it is alone. But it will be active if it is in a group.,LEDYBA secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This POKéMON conveys its feelings to others by altering the fluid’s scent.,"It is so timid, it can’t move if it isn’t with a swarm of others. It conveys its feelings with scent.","It is so timid, it can’t move if it isn’t with a swarm of others. It conveys its feelings with scent.","When the weather turns cold, lots of Ledyba gather from everywhere to cluster and keep each other warm.",They are timid and grow uneasy when not in a swarm with others of their kind. The pattern on their backs differs slightly from one to another.,,
166,Ledian,II,Five Star Pokémon,Bug,Flying,1.4,35.6,55,35,50,55,110,85,"Swarm, Early Bird, Iron Fist",Ledyba,,,"When the stars flicker in the night sky, it flutters about, scattering a glowing powder.","It is said that in lands with clean air, where the stars fill the sky, there live LEDIAN in countless numbers. There is a good reason for this - the POKéMON uses the light of the stars as its energy.","It uses starlight as energy. When more stars appear at night, the patterns on its back grow larger.","It uses starlight as energy. When more stars appear at night, the patterns on its back grow larger.","When the stars flicker in the night sky, it flutters about, scattering a glowing powder.","While it’s believed that starlight provides it with energy, this Pokémon also loves to eat berries. In the daytime, it curls up in the grass to sleep.",,
167,Spinarak,II,String Spit Pokémon,Bug,Poison,0.5,8.5,40,60,40,40,40,30,"Swarm, Insomnia, Sniper",,,,"It lies still in the same pose for days in its web, waiting for its unsuspecting prey to wander close.",The web spun by SPINARAK can be considered its second nervous system. It is said that this POKéMON can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web’s strands.,It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive.,It sets a trap by spinning a web with thin but strong silk. It waits motionlessly for prey to arrive.,It spins a web using fine--but durable--thread. It then waits patiently for prey to be trapped.,"It waits intently until its preferred prey, Cutiefly, gets caught in its web. In fact, it’s quite a patient Pokémon.",,
168,Ariados,II,Long Leg Pokémon,Bug,Poison,1.1,33.5,70,90,70,60,70,40,"Swarm, Insomnia, Sniper",Spinarak,,,It spins string not only from its rear but also from its mouth. It is hard to tell which end is which.,ARIADOS’s feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This POKéMON constricts the foe with thin and strong silk webbing.,"It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends.","It attaches silk to its prey and sets it free. Later, it tracks the silk to the prey and its friends.",It spins string not only from its rear but also from its mouth. It’s hard to tell which end is which.,There are some areas where people use the string Ariados spins for their own weaving. The resulting cloth is popular for its strength.,,
169,Crobat,II,Bat Pokémon,Poison,Flying,1.8,75.0,85,90,80,70,80,130,"Inner Focus, Infiltrator",Golbat,,,It flies so si­ lently through the dark on its four wings that it may not be noticed even when nearby.,"If this POKéMON is flying by fluttering only a pair of wings on either the forelegs or hind legs, it’s proof that CROBAT has been flying a long distance. It switches the wings it uses if it is tired.",Having four wings enables it to fly faster and more quietly. It turns active when the night comes.,"The transformation of its legs into wings made it better at flying, but more clumsy at walking.",It flies so silently through the dark on its four wings that it may not be noticed even when nearby.,"Both its legs became wings, and as a result, it can’t move well on the ground. All it can do is crawl around.","Both of its legs have turned into wings. Without a sound, Crobat flies swiftly toward its prey and sinks its fangs into the nape of its target’s neck.",
170,Chinchou,II,Angler Pokémon,Water,Electric,0.5,12.0,75,38,38,56,56,67,"Volt Absorb, Illuminate, Water Absorb",,,,It shoots positive and negative elec­ tricity between the tips of its two antennae and zaps its enemies.,CHINCHOU lets loose positive and negative electrical charges from its two antennas to make its prey faint. This POKéMON flashes its electric lights to exchange signals with others.,It discharges positive and negative electricity from its antenna tips to shock its foes.,It discharges positive and negative electricity from its antenna tips to shock its foes.,"On the dark ocean floor, its only means of communication is its constantly flashing lights.",Its two antennae were originally fins. It discharges electricity to stun its prey before attacking.,"Its antennae, which evolved from a fin, have both positive and negative charges flowing through them.",
171,Lanturn,II,Light Pokémon,Water,Electric,1.2,22.5,125,58,58,76,76,67,"Volt Absorb, Illuminate, Water Absorb",Chinchou,,,The light it emits is so bright that it can illuminate the sea's surface from a depth of over three miles.,LANTURN is nicknamed “the deep-sea star” for its illuminated antenna. This POKéMON produces light by causing a chemical reaction between bacteria and its bodily fluids inside the antenna.,LANTURN’s light can shine up from great depths. It is nicknamed “The Deep-Sea Star.”,Lanturn’s light can shine up from great depths. It is nicknamed “The Deep-Sea Star.”,Lanturn’s light can shine up from great depths. It is nicknamed “The Deep-Sea Star.”,"Should you peer into the ocean at night and see a light shining like the stars, that is Lanturn.",The light it emits is so bright that it can illuminate the sea’s surface from a depth of over three miles.,
172,Pichu,II,Tiny Mouse Pokémon,Electric,,0.3,2.0,20,40,15,35,35,60,"Static, Lightning Rod",,,,It is not yet skilled at storing electricity. It may send out a jolt if amused or startled.,PICHU charges itself with electricity more easily on days with thunderclouds or when the air is very dry. You can hear the crackling of static electricity coming off this POKéMON.,The electric pouches on its cheeks are still small. They cannot store much electricity yet.,"The electric sacs in its cheeks are small. If even a little electricity leaks, it becomes shocked.",It plays with others by touching tails and setting off sparks. This appears to be a test of courage.,"It is not yet skilled at controlling electricity. If you take your eyes off it, it may shock itself.","Despite its small size, it can zap even adult humans. However, if it does so, it also surprises itself.",
173,Cleffa,II,Star Shape Pokémon,Fairy,,0.3,3.0,50,25,28,45,55,15,"Cute Charm, Magic Guard, Friend Guard",,,,"Because of its unusual, star-like silhouette, people believe that it came here on a meteor.","On nights with many shooting stars, CLEFFA can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these POKéMON quench their thirst with the morning dew.",Its silhouette is like a star. It is believed to arrive riding on shooting stars.,It is often seen when shooting stars fill the night skies. It’s said to arrive riding on a shooting star.,"Because of its unusual, starlike silhouette, people believe that it came here on a meteor.","On late nights illuminated by shooting stars, it gazes intently skyward, as if thinking of its home.","According to local rumors, Cleffa are often seen in places where shooting stars have fallen.",
174,Igglybuff,II,Balloon Pokémon,Normal,Fairy,0.3,1.0,90,30,15,40,20,15,"Cute Charm, Competitive, Friend Guard",,,,"It has a very soft body. If it starts to roll, it will bounce all over and be impossible to stop.",IGGLYBUFF’s vocal chords are not sufficiently developed. It would hurt its throat if it were to sing too much. This POKéMON gargles with freshwater from a clean stream.,"It has a soft and bouncy body. Once it starts bouncing, it becomes impossible to stop.","It has a soft and bouncy body. Once it starts bouncing, it becomes impossible to stop.","Instead of walking with its short legs, it moves around by bouncing on its soft, tender body.","It likes to sing but is not yet good at it. With praise and encouragement, it will get better little by little.",Igglybuff loves to sing. Its marshmallow-like body gives off a faint sweet smell.,
175,Togepi,II,Spike Ball Pokémon,Fairy,,0.3,1.5,35,20,65,40,65,20,"Hustle, Serene Grace, Super Luck",,,,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,"As its energy, TOGEPI uses the positive emotions of compassion and pleasure exuded by people and POKéMON. This POKéMON stores up feelings of happiness inside its shell, then shares them with others.",Its shell is said to be stuffed with happiness that it shares with kindhearted people.,"It transforms the kindness and joy of others into happiness, which it stores in its shell.",The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,,The shell seems to be filled with joy. It is said that it will share good luck when treated kindly.,
176,Togetic,II,Happiness Pokémon,Fairy,Flying,0.6,3.2,55,40,85,80,105,40,"Hustle, Serene Grace, Super Luck",Togepi,,,"They say that it will appear before kindhearted, car­ ing people and shower them with happiness.","TOGETIC is said to be a POKéMON that brings good fortune. When the POKéMON spots someone who is pure of heart, it is said to appear and share its happiness with that person.",It is said to appear in front of kindly people to scatter a glowing down called “joy dust.”,"To share its happiness, it flies around the world seeking kind- hearted people.",It grows dispirited if it is not with kind people. It can float in midair without moving its wings.,,"They say that it will appear before kindhearted, caring people and shower them with happiness.",
177,Natu,II,Tiny Bird Pokémon,Psychic,Flying,0.2,2.0,40,50,45,70,45,70,"Synchronize, Early Bird, Magic Bounce",,,,"Because its wings aren't yet fully grown, it has to hop to get around. It is always star­ ing at something.","NATU cannot fly because its wings are not yet fully grown. If your eyes meet with this POKéMON’s eyes, it will stare back intently at you. But if you move even slightly, it will hop away to safety.","It picks food from cactus plants, deftly avoiding buds and spines. It seems to skip about to move.","It picks food from cactus plants, deftly avoiding buds and spines. It seems to skip about to move.","Because its wings aren’t yet fully grown, it has to hop to get around. It is always staring at something.",,It is extremely good at climbing tree trunks and likes to eat the new sprouts on the trees.,
178,Xatu,II,Mystic Pokémon,Psychic,Flying,1.5,15.0,65,75,70,95,70,95,"Synchronize, Early Bird, Magic Bounce",Natu,,,They say that it stays still and quiet because it is seeing both the past and future at the same time.,XATU stands rooted and still in one spot all day long. People believe that this POKéMON does so out of fear of the terrible things it has foreseen in the future.,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.,This odd Pokémon can see both the past and the future. It eyes the sun’s movement all day.,"Once it begins to meditate at sunrise, the entire day will pass before it will move again.",,They say that it stays still and quiet because it is seeing both the past and future at the same time.,
179,Mareep,II,Wool Pokémon,Electric,,0.6,7.8,55,40,40,65,45,35,"Static, Plus",,,,"If static elec­ tricity builds in its body, its fleece doubles in volume. Touching it will shock you.","MAREEP’s fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail grows.",Its fluffy coat swells to double when static electricity builds up. Touching it can be shocking.,Its fluffy coat swells to double when static electricity builds up. Touching it can be shocking.,Its fluffy coat swells to double when static electricity builds up. Touching it can be shocking.,,,
180,Flaaffy,II,Wool Pokémon,Electric,,0.8,13.3,70,55,55,80,60,45,"Static, Plus",Mareep,,,"As a result of storing too much electricity, it developed patches where even downy wool won't grow.",FLAAFFY’s wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity.,"If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact.","If its coat becomes fully charged with electricity, its tail lights up. It fires hair that zaps on impact.",Its fluffy fleece easily stores electricity. Its rubbery hide keeps it from being electrocuted.,,,
181,Ampharos,II,Light Pokémon,Electric,,1.4,61.5,90,75,85,115,90,55,"Static, Plus",Flaaffy,,,The tail's tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,AMPHAROS gives off so much light that it can be seen even from space. People in the old days used the light of this POKéMON to send signals back and forth with others far away.,"The tip of its tail shines brightly. In the olden days, people sent signals using the tail’s light.","The tip of its tail shines brightly. In the olden days, people sent signals using the tail’s light.",The tail’s tip shines brightly and can be seen from far away. It acts as a beacon for lost people.,,,
182,Bellossom,II,Flower Pokémon,Grass,,0.4,5.8,75,80,95,90,100,50,"Chlorophyll, Healer",Gloom,,,BELLOSSOM gather at times and appear to dance. They say that the dance is a ritual to summon the sun.,"When BELLOSSOM gets exposed to plenty of sunlight, the leaves ringing its body begin to spin around. This POKéMON’s dancing is renowned in the southern lands.","When the heavy rainfall season ends, it is drawn out by warm sunlight to dance in the open.","When the heavy rainfall season ends, it is drawn out by warm sunlight to dance in the open.",Bellossom gather at times and seem to dance. They say that the dance is a ritual to summon the sun.,,"Plentiful in the tropics. When it dances, its petals rub together and make a pleasant ringing sound.",
183,Marill,II,Aqua Mouse Pokémon,Water,Fairy,0.4,8.5,70,20,50,20,50,40,"Thick Fat, Huge Power, Sap Sipper",Azurill,,,"The tip of its tail, which con­ tains oil that is lighter than wa­ ter, lets it swim without drowning.","MARILL’s oil-filled tail acts much like a life preserver. If you see just its tail bobbing on the water’s surface, it’s a sure indication that this POKéMON is diving beneath the water to feed on aquatic plants.","Using its tail as a float, it dives underwater. It likes eating plants that grow on river bottoms.",The oil-filled end of its tail floats on water. It keeps Marill from drowning even in a strong current.,"The fur on its body naturally repels water. It can stay dry, even when it plays in the water.",,This Pokémon uses its round tail as a float. The ball of Marill’s tail is filled with nutrients that have been turned into an oil.,
184,Azumarill,II,Aqua Rabbit Pokémon,Water,Fairy,0.8,28.5,100,50,80,60,80,50,"Thick Fat, Huge Power, Sap Sipper",Marill,,,"By keeping still and listening in­ tently, it can tell what is in even wild, fast- moving rivers.","AZUMARILL’s long ears are indispensable sensors. By focusing its hearing, this POKéMON can identify what kinds of prey are around, even in rough and fast-running rivers.","It lives in rivers and lakes. In water, its coloring and patterns trick the vision of foes.","It can spend all day in water, since it can inhale and store a large volume of air.",Its long ears are superb sensors. It can distinguish the movements of living things on riverbeds.,,"It spends most of its time in the water. On sunny days, Azumarill floats on the surface of the water and sunbathes.",
